	seq1	seq2	seq3	seq4	seq5	seq6	seq7	seq8	seq9	seq10	seq11	seq12	seq13	seq14	seq15	seq16	seq17	seq18	seq19	seq20	seq21	seq22	seq23	seq24	seq25	seq26	seq27	seq28	seq29	seq30	seq31	seq32	seq33	seq34	seq35	seq36	seq37	seq38	seq39	seq40	seq41	seq42	seq43	seq44	seq45	seq46	seq47	seq48	seq49	seq50	seq51	seq52	seq53	seq54	seq55	seq56	seq57	seq58	seq59	seq60	seq61	seq62	seq63	seq64	seq65	seq66	seq67	seq68	seq69	seq70	seq71	seq72	seq73	seq74	seq75	seq76	seq77	seq78	seq79	seq80	seq81	seq82	seq83	seq84	seq85	seq86	seq87	seq88	seq89	seq90	seq91	seq92	seq93	seq94	seq95	seq96	seq97	seq98	seq99	seq100
seq11	0.3310810810810811	0.5	0.6081081081081081	0.6013513513513513	0.6283783783783784	0.5945945945945946	0.5878378378378378	0.5540540540540541	0.28378378378378377	0.5202702702702703	0.0	0.25	0.4391891891891892	0.6554054054054054	0.24324324324324326	0.6621621621621622	0.3310810810810811	0.46621621621621623	0.31756756756756754	0.32432432432432434	0.43243243243243246	0.33783783783783783	0.28378378378378377	0.3918918918918919	0.2635135135135135	0.2702702702702703	0.38513513513513514	0.38513513513513514	0.3783783783783784	0.6283783783783784	0.6554054054054054	0.6621621621621622	0.30405405405405406	0.6216216216216216	0.5067567567567568	0.6486486486486487	0.31756756756756754	0.5	0.34459459459459457	0.40540540540540543	0.6621621621621622	0.6081081081081081	0.2635135135135135	0.25	0.6148648648648649	0.2972972972972973	0.49324324324324326	0.6554054054054054	0.35135135135135137	0.2905405405405405	0.36486486486486486	0.2635135135135135	0.41216216216216217	0.6216216216216216	0.5067567567567568	0.6283783783783784	0.3581081081081081	0.22297297297297297	0.42567567567567566	0.25675675675675674	0.5945945945945946	0.5945945945945946	0.5202702702702703	0.23648648648648649	0.5202702702702703	0.18243243243243243	0.33783783783783783	0.28378378378378377	0.2635135135135135	0.2905405405405405	0.20270270270270271	0.2905405405405405	0.6351351351351351	0.31756756756756754	0.6148648648648649	0.25675675675675674	0.6216216216216216	0.20945945945945946	0.6013513513513513	0.1891891891891892	0.3108108108108108	0.6081081081081081	0.41216216216216217	0.2635135135135135	0.5675675675675675	0.6216216216216216	0.39864864864864863	0.5337837837837838	0.42567567567567566	0.527027027027027	0.4864864864864865	0.6081081081081081	0.4594594594594595	0.30405405405405406	0.23648648648648649	0.42567567567567566	0.6621621621621622	0.11486486486486487	0.31756756756756754	0.19594594594594594
seq12	0.4189189189189189	0.3783783783783784	0.5067567567567568	0.527027027027027	0.5202702702702703	0.5067567567567568	0.5067567567567568	0.46621621621621623	0.4391891891891892	0.6148648648648649	0.25	0.0	0.3108108108108108	0.5608108108108109	0.34459459459459457	0.5743243243243243	0.36486486486486486	0.5540540540540541	0.4189189189189189	0.20945945945945946	0.5675675675675675	0.4527027027027027	0.3716216216216216	0.25	0.33783783783783783	0.3783783783783784	0.44594594594594594	0.3108108108108108	0.22972972972972974	0.5337837837837838	0.5608108108108109	0.5608108108108109	0.40540540540540543	0.527027027027027	0.5675675675675675	0.581081081081081	0.2972972972972973	0.3581081081081081	0.21621621621621623	0.2972972972972973	0.5675675675675675	0.5202702702702703	0.36486486486486486	0.34459459459459457	0.5337837837837838	0.44594594594594594	0.40540540540540543	0.5743243243243243	0.27702702702702703	0.38513513513513514	0.22972972972972974	0.38513513513513514	0.3108108108108108	0.5202702702702703	0.44594594594594594	0.5608108108108109	0.4594594594594595	0.3783783783783784	0.2972972972972973	0.3310810810810811	0.5337837837837838	0.5337837837837838	0.6148648648648649	0.3783783783783784	0.36486486486486486	0.34459459459459457	0.4391891891891892	0.44594594594594594	0.21621621621621623	0.4189189189189189	0.36486486486486486	0.3783783783783784	0.5675675675675675	0.3918918918918919	0.5337837837837838	0.30405405405405406	0.5405405405405406	0.16891891891891891	0.5202702702702703	0.3108108108108108	0.39864864864864863	0.5202702702702703	0.2905405405405405	0.3310810810810811	0.49324324324324326	0.5405405405405406	0.25	0.6216216216216216	0.5878378378378378	0.4189189189189189	0.36486486486486486	0.5202702702702703	0.3108108108108108	0.4189189189189189	0.3918918918918919	0.2702702702702703	0.5743243243243243	0.2702702702702703	0.17567567567567569	0.35135135135135137
seq13	0.41216216216216217	0.34459459459459457	0.4864864864864865	0.5	0.49324324324324326	0.46621621621621623	0.4797297297297297	0.41216216216216217	0.5067567567567568	0.6148648648648649	0.4391891891891892	0.3108108108108108	0.0	0.5472972972972973	0.44594594594594594	0.5337837837837838	0.42567567567567566	0.6216216216216216	0.4594594594594595	0.25	0.6554054054054054	0.5	0.43243243243243246	0.23648648648648649	0.4189189189189189	0.3918918918918919	0.4189189189189189	0.38513513513513514	0.3918918918918919	0.4797297297297297	0.5135135135135135	0.5337837837837838	0.4527027027027027	0.5067567567567568	0.6756756756756757	0.5337837837837838	0.3783783783783784	0.2905405405405405	0.2635135135135135	0.30405405405405406	0.5135135135135135	0.49324324324324326	0.40540540540540543	0.5202702702702703	0.4797297297297297	0.5540540540540541	0.32432432432432434	0.5337837837837838	0.2635135135135135	0.38513513513513514	0.31756756756756754	0.527027027027027	0.20270270270270271	0.5	0.4189189189189189	0.5	0.5472972972972973	0.5202702702702703	0.2635135135135135	0.3783783783783784	0.4797297297297297	0.4797297297297297	0.581081081081081	0.47297297297297297	0.32432432432432434	0.527027027027027	0.4864864864864865	0.5405405405405406	0.31756756756756754	0.47297297297297297	0.5337837837837838	0.3716216216216216	0.5135135135135135	0.40540540540540543	0.4864864864864865	0.44594594594594594	0.5	0.3581081081081081	0.49324324324324326	0.49324324324324326	0.4189189189189189	0.46621621621621623	0.2635135135135135	0.39864864864864863	0.42567567567567566	0.5	0.2972972972972973	0.668918918918919	0.5878378378378378	0.35135135135135137	0.25	0.4864864864864865	0.22972972972972974	0.4797297297297297	0.527027027027027	0.3716216216216216	0.5202702702702703	0.4864864864864865	0.31756756756756754	0.5202702702702703
seq14	0.7432432432432432	0.3310810810810811	0.07432432432432433	0.08783783783783784	0.10135135135135136	0.0945945945945946	0.06756756756756757	0.20945945945945946	0.6486486486486487	0.9324324324324325	0.6554054054054054	0.5608108108108109	0.5472972972972973	0.0	0.7297297297297297	0.05405405405405406	0.6554054054054054	0.8918918918918919	0.7297297297297297	0.581081081081081	0.6891891891891891	0.7094594594594594	0.722972972972973	0.5202702702702703	0.7297297297297297	0.6959459459459459	0.7702702702702703	0.49324324324324326	0.6013513513513513	0.12162162162162163	0.12162162162162163	0.07432432432432433	0.7364864864864865	0.11486486486486487	0.918918918918919	0.0472972972972973	0.581081081081081	0.3716216216216216	0.5743243243243243	0.6013513513513513	0.060810810810810814	0.08108108108108109	0.7027027027027027	0.6418918918918919	0.11486486486486487	0.6351351351351351	0.3581081081081081	0.04054054054054054	0.6148648648648649	0.7364864864864865	0.5675675675675675	0.6486486486486487	0.5337837837837838	0.0945945945945946	0.2972972972972973	0.06756756756756757	0.5743243243243243	0.6486486486486487	0.43243243243243246	0.6959459459459459	0.10810810810810811	0.10810810810810811	0.9256756756756757	0.668918918918919	0.38513513513513514	0.6756756756756757	0.7432432432432432	0.6216216216216216	0.49324324324324326	0.6216216216216216	0.6621621621621622	0.6891891891891891	0.0472972972972973	0.722972972972973	0.08783783783783784	0.6824324324324325	0.0945945945945946	0.5608108108108109	0.08783783783783784	0.6486486486486487	0.7297297297297297	0.0945945945945946	0.5608108108108109	0.7027027027027027	0.20945945945945946	0.07432432432432433	0.581081081081081	0.9256756756756757	0.7432432432432432	0.3783783783783784	0.39864864864864863	0.08783783783783784	0.40540540540540543	0.6486486486486487	0.6621621621621622	0.6081081081081081	0.060810810810810814	0.6351351351351351	0.5743243243243243	0.6554054054054054
seq15	0.31756756756756754	0.5405405405405406	0.6824324324324325	0.6824324324324325	0.7162162162162162	0.6554054054054054	0.6621621621621622	0.6216216216216216	0.3310810810810811	0.38513513513513514	0.24324324324324326	0.34459459459459457	0.44594594594594594	0.7297297297297297	0.0	0.7364864864864865	0.2972972972972973	0.39864864864864863	0.30405405405405406	0.34459459459459457	0.46621621621621623	0.38513513513513514	0.24324324324324326	0.41216216216216217	0.12162162162162163	0.21621621621621623	0.2905405405405405	0.4391891891891892	0.4189189189189189	0.6959459459459459	0.7364864864864865	0.7432432432432432	0.22297297297297297	0.6959459459459459	0.42567567567567566	0.7297297297297297	0.33783783783783783	0.5067567567567568	0.30405405405405406	0.43243243243243246	0.7297297297297297	0.6621621621621622	0.21621621621621623	0.2972972972972973	0.6824324324324325	0.36486486486486486	0.5405405405405406	0.7297297297297297	0.34459459459459457	0.25675675675675674	0.34459459459459457	0.30405405405405406	0.4594594594594595	0.6959459459459459	0.5945945945945946	0.7094594594594594	0.3581081081081081	0.30405405405405406	0.44594594594594594	0.21621621621621623	0.6756756756756757	0.6959459459459459	0.4189189189189189	0.2702702702702703	0.5202702702702703	0.22972972972972974	0.22972972972972974	0.31756756756756754	0.3918918918918919	0.32432432432432434	0.27702702702702703	0.25675675675675674	0.7162162162162162	0.22972972972972974	0.6959459459459459	0.25675675675675674	0.6891891891891891	0.35135135135135137	0.6824324324324325	0.24324324324324326	0.2635135135135135	0.6824324324324325	0.4189189189189189	0.21621621621621623	0.6148648648648649	0.6959459459459459	0.38513513513513514	0.44594594594594594	0.3783783783783784	0.5337837837837838	0.4864864864864865	0.6756756756756757	0.4391891891891892	0.28378378378378377	0.25	0.38513513513513514	0.7162162162162162	0.25675675675675674	0.34459459459459457	0.22297297297297297
seq16	0.7432432432432432	0.36486486486486486	0.0945945945945946	0.10810810810810811	0.13513513513513514	0.10135135135135136	0.08108108108108109	0.21621621621621623	0.6554054054054054	0.9256756756756757	0.6621621621621622	0.5743243243243243	0.5337837837837838	0.05405405405405406	0.7364864864864865	0.0	0.6756756756756757	0.8851351351351351	0.722972972972973	0.5878378378378378	0.6959459459459459	0.7162162162162162	0.722972972972973	0.5202702702702703	0.7162162162162162	0.6959459459459459	0.7702702702702703	0.49324324324324326	0.5608108108108109	0.12837837837837837	0.13513513513513514	0.08783783783783784	0.7432432432432432	0.10810810810810811	0.9324324324324325	0.060810810810810814	0.5878378378378378	0.35135135135135137	0.5878378378378378	0.6013513513513513	0.05405405405405406	0.10135135135135136	0.7027027027027027	0.6418918918918919	0.12162162162162163	0.6418918918918919	0.3581081081081081	0.033783783783783786	0.6013513513513513	0.7364864864864865	0.581081081081081	0.6621621621621622	0.527027027027027	0.10810810810810811	0.30405405405405406	0.06756756756756757	0.581081081081081	0.6418918918918919	0.4391891891891892	0.6891891891891891	0.10810810810810811	0.10810810810810811	0.9459459459459459	0.6621621621621622	0.3918918918918919	0.6824324324324325	0.7432432432432432	0.6216216216216216	0.5	0.6351351351351351	0.668918918918919	0.6959459459459459	0.05405405405405406	0.7432432432432432	0.08108108108108109	0.6824324324324325	0.10135135135135136	0.5675675675675675	0.10810810810810811	0.6621621621621622	0.7432432432432432	0.10135135135135136	0.5472972972972973	0.7027027027027027	0.20945945945945946	0.060810810810810814	0.5878378378378378	0.9121621621621622	0.7432432432432432	0.3783783783783784	0.4189189189189189	0.10135135135135136	0.40540540540540543	0.6418918918918919	0.6756756756756757	0.6148648648648649	0.07432432432432433	0.6351351351351351	0.581081081081081	0.6756756756756757
seq17	0.32432432432432434	0.49324324324324326	0.6081081081081081	0.6148648648648649	0.6554054054054054	0.6013513513513513	0.5945945945945946	0.5472972972972973	0.4189189189189189	0.5	0.3310810810810811	0.36486486486486486	0.42567567567567566	0.6554054054054054	0.2972972972972973	0.6756756756756757	0.0	0.5202702702702703	0.31756756756756754	0.31756756756756754	0.5405405405405406	0.36486486486486486	0.33783783783783783	0.32432432432432434	0.32432432432432434	0.25675675675675674	0.36486486486486486	0.4189189189189189	0.42567567567567566	0.6351351351351351	0.6486486486486487	0.6824324324324325	0.3783783783783784	0.6418918918918919	0.5135135135135135	0.668918918918919	0.36486486486486486	0.47297297297297297	0.28378378378378377	0.38513513513513514	0.6824324324324325	0.6013513513513513	0.2972972972972973	0.3783783783783784	0.6351351351351351	0.40540540540540543	0.49324324324324326	0.6621621621621622	0.3108108108108108	0.24324324324324326	0.36486486486486486	0.36486486486486486	0.42567567567567566	0.6283783783783784	0.5675675675675675	0.6621621621621622	0.4189189189189189	0.3716216216216216	0.3716216216216216	0.30405405405405406	0.6216216216216216	0.6351351351351351	0.527027027027027	0.33783783783783783	0.46621621621621623	0.36486486486486486	0.2905405405405405	0.3918918918918919	0.35135135135135137	0.36486486486486486	0.36486486486486486	0.3108108108108108	0.668918918918919	0.2635135135135135	0.6418918918918919	0.28378378378378377	0.6283783783783784	0.35135135135135137	0.6216216216216216	0.32432432432432434	0.3310810810810811	0.6283783783783784	0.3783783783783784	0.27702702702702703	0.5675675675675675	0.6418918918918919	0.3310810810810811	0.5405405405405406	0.4594594594594595	0.4797297297297297	0.47297297297297297	0.6216216216216216	0.42567567567567566	0.3581081081081081	0.39864864864864863	0.40540540540540543	0.6756756756756757	0.34459459459459457	0.36486486486486486	0.3918918918918919
seq18	0.38513513513513514	0.6554054054054054	0.8445945945945946	0.8378378378378378	0.8783783783783784	0.8108108108108109	0.8243243243243243	0.8040540540540541	0.5	0.23648648648648649	0.46621621621621623	0.5540540540540541	0.6216216216216216	0.8918918918918919	0.39864864864864863	0.8851351351351351	0.5202702702702703	0.0	0.40540540540540543	0.5202702702702703	0.42567567567567566	0.4797297297297297	0.35135135135135137	0.581081081081081	0.43243243243243246	0.39864864864864863	0.43243243243243246	0.5878378378378378	0.5878378378378378	0.8581081081081081	0.9054054054054054	0.9054054054054054	0.3918918918918919	0.8513513513513513	0.25	0.8918918918918919	0.581081081081081	0.6554054054054054	0.49324324324324326	0.5472972972972973	0.8918918918918919	0.831081081081081	0.40540540540540543	0.5	0.8513513513513513	0.5067567567567568	0.7364864864864865	0.8918918918918919	0.5405405405405406	0.44594594594594594	0.581081081081081	0.5135135135135135	0.5472972972972973	0.8648648648648649	0.7567567567567568	0.8716216216216216	0.5	0.5202702702702703	0.6216216216216216	0.41216216216216217	0.8445945945945946	0.8581081081081081	0.25	0.49324324324324326	0.6621621621621622	0.4391891891891892	0.3581081081081081	0.5202702702702703	0.5945945945945946	0.46621621621621623	0.47297297297297297	0.3783783783783784	0.8783783783783784	0.40540540540540543	0.8581081081081081	0.41216216216216217	0.8581081081081081	0.5337837837837838	0.831081081081081	0.47297297297297297	0.38513513513513514	0.8445945945945946	0.5405405405405406	0.42567567567567566	0.7905405405405406	0.8513513513513513	0.4864864864864865	0.21621621621621623	0.35135135135135137	0.6824324324324325	0.6418918918918919	0.8378378378378378	0.6351351351351351	0.42567567567567566	0.47297297297297297	0.5675675675675675	0.8851351351351351	0.47297297297297297	0.5202702702702703	0.40540540540540543
seq19	0.2635135135135135	0.527027027027027	0.6891891891891891	0.6891891891891891	0.7094594594594594	0.668918918918919	0.668918918918919	0.6283783783783784	0.3716216216216216	0.49324324324324326	0.31756756756756754	0.4189189189189189	0.4594594594594595	0.7297297297297297	0.30405405405405406	0.722972972972973	0.31756756756756754	0.40540540540540543	0.0	0.3581081081081081	0.43243243243243246	0.32432432432432434	0.22297297297297297	0.39864864864864863	0.3108108108108108	0.3310810810810811	0.2972972972972973	0.44594594594594594	0.4391891891891892	0.6959459459459459	0.722972972972973	0.7162162162162162	0.27702702702702703	0.6621621621621622	0.4594594594594595	0.722972972972973	0.42567567567567566	0.47297297297297297	0.36486486486486486	0.3716216216216216	0.7297297297297297	0.6756756756756757	0.28378378378378377	0.3581081081081081	0.6891891891891891	0.36486486486486486	0.5202702702702703	0.7364864864864865	0.33783783783783783	0.21621621621621623	0.4189189189189189	0.40540540540540543	0.4594594594594595	0.7027027027027027	0.5945945945945946	0.7162162162162162	0.35135135135135137	0.3716216216216216	0.4797297297297297	0.31756756756756754	0.6756756756756757	0.6891891891891891	0.49324324324324326	0.3310810810810811	0.5135135135135135	0.3716216216216216	0.25	0.33783783783783783	0.43243243243243246	0.3108108108108108	0.35135135135135137	0.28378378378378377	0.722972972972973	0.2635135135135135	0.7027027027027027	0.27702702702702703	0.6824324324324325	0.40540540540540543	0.6621621621621622	0.31756756756756754	0.19594594594594594	0.6824324324324325	0.40540540540540543	0.2635135135135135	0.6283783783783784	0.6959459459459459	0.33783783783783783	0.38513513513513514	0.39864864864864863	0.527027027027027	0.5135135135135135	0.6824324324324325	0.5135135135135135	0.32432432432432434	0.3108108108108108	0.4594594594594595	0.722972972972973	0.2972972972972973	0.41216216216216217	0.31756756756756754
seq20	0.33783783783783783	0.38513513513513514	0.5405405405405406	0.5337837837837838	0.5472972972972973	0.5202702702702703	0.5202702702702703	0.47297297297297297	0.4527027027027027	0.5675675675675675	0.32432432432432434	0.20945945945945946	0.25	0.581081081081081	0.34459459459459457	0.5878378378378378	0.31756756756756754	0.5202702702702703	0.3581081081081081	0.0	0.5337837837837838	0.43243243243243246	0.3310810810810811	0.23648648648648649	0.35135135135135137	0.32432432432432434	0.40540540540540543	0.28378378378378377	0.2905405405405405	0.5608108108108109	0.5878378378378378	0.5878378378378378	0.35135135135135137	0.5608108108108109	0.5540540540540541	0.5743243243243243	0.30405405405405406	0.36486486486486486	0.16891891891891891	0.21621621621621623	0.5878378378378378	0.5405405405405406	0.30405405405405406	0.44594594594594594	0.5472972972972973	0.46621621621621623	0.38513513513513514	0.581081081081081	0.16216216216216217	0.30405405405405406	0.24324324324324326	0.47297297297297297	0.22972972972972974	0.5608108108108109	0.47297297297297297	0.5540540540540541	0.44594594594594594	0.43243243243243246	0.2702702702702703	0.32432432432432434	0.5337837837837838	0.5472972972972973	0.5675675675675675	0.41216216216216217	0.3581081081081081	0.3918918918918919	0.38513513513513514	0.4797297297297297	0.27702702702702703	0.43243243243243246	0.42567567567567566	0.2972972972972973	0.581081081081081	0.35135135135135137	0.5405405405405406	0.3108108108108108	0.5337837837837838	0.25675675675675674	0.527027027027027	0.3783783783783784	0.38513513513513514	0.5405405405405406	0.22297297297297297	0.30405405405405406	0.5	0.5472972972972973	0.20270270270270271	0.5945945945945946	0.5337837837837838	0.43243243243243246	0.34459459459459457	0.5202702702702703	0.2972972972972973	0.42567567567567566	0.39864864864864863	0.2972972972972973	0.5743243243243243	0.3716216216216216	0.19594594594594594	0.3716216216216216
seq21	0.4594594594594595	0.6081081081081081	0.6418918918918919	0.6418918918918919	0.6621621621621622	0.6283783783783784	0.6283783783783784	0.6013513513513513	0.3581081081081081	0.527027027027027	0.43243243243243246	0.5675675675675675	0.6554054054054054	0.6891891891891891	0.46621621621621623	0.6959459459459459	0.5405405405405406	0.42567567567567566	0.43243243243243246	0.5337837837837838	0.0	0.5405405405405406	0.4527027027027027	0.6013513513513513	0.4864864864864865	0.49324324324324326	0.4527027027027027	0.5135135135135135	0.6216216216216216	0.668918918918919	0.6891891891891891	0.6756756756756757	0.4594594594594595	0.6351351351351351	0.46621621621621623	0.6824324324324325	0.527027027027027	0.6554054054054054	0.5472972972972973	0.5675675675675675	0.7027027027027027	0.6486486486486487	0.5067567567567568	0.4797297297297297	0.6621621621621622	0.41216216216216217	0.6013513513513513	0.6959459459459459	0.5472972972972973	0.4864864864864865	0.5945945945945946	0.46621621621621623	0.6283783783783784	0.6621621621621622	0.5067567567567568	0.6756756756756757	0.27702702702702703	0.39864864864864863	0.6418918918918919	0.49324324324324326	0.6486486486486487	0.6621621621621622	0.5	0.40540540540540543	0.6283783783783784	0.3716216216216216	0.4527027027027027	0.4189189189189189	0.527027027027027	0.4189189189189189	0.40540540540540543	0.4527027027027027	0.6891891891891891	0.42567567567567566	0.6621621621621622	0.4864864864864865	0.6418918918918919	0.5	0.6216216216216216	0.40540540540540543	0.4797297297297297	0.6554054054054054	0.6081081081081081	0.44594594594594594	0.6283783783783784	0.6486486486486487	0.5675675675675675	0.4797297297297297	0.32432432432432434	0.6283783783783784	0.668918918918919	0.6418918918918919	0.6824324324324325	0.4527027027027027	0.39864864864864863	0.5472972972972973	0.7027027027027027	0.3918918918918919	0.6081081081081081	0.3918918918918919
seq22	0.32432432432432434	0.5135135135135135	0.6621621621621622	0.6621621621621622	0.668918918918919	0.6554054054054054	0.6486486486486487	0.6486486486486487	0.43243243243243246	0.5540540540540541	0.33783783783783783	0.4527027027027027	0.5	0.7094594594594594	0.38513513513513514	0.7162162162162162	0.36486486486486486	0.4797297297297297	0.32432432432432434	0.43243243243243246	0.5405405405405406	0.0	0.31756756756756754	0.4189189189189189	0.39864864864864863	0.31756756756756754	0.34459459459459457	0.5067567567567568	0.4189189189189189	0.6756756756756757	0.6891891891891891	0.7027027027027027	0.3918918918918919	0.668918918918919	0.5405405405405406	0.7027027027027027	0.4391891891891892	0.5202702702702703	0.42567567567567566	0.4391891891891892	0.6891891891891891	0.6486486486486487	0.34459459459459457	0.3918918918918919	0.6351351351351351	0.38513513513513514	0.5202702702702703	0.7162162162162162	0.44594594594594594	0.34459459459459457	0.4527027027027027	0.33783783783783783	0.4594594594594595	0.6554054054054054	0.5945945945945946	0.6756756756756757	0.43243243243243246	0.3918918918918919	0.4797297297297297	0.30405405405405406	0.6621621621621622	0.6621621621621622	0.5540540540540541	0.3581081081081081	0.4864864864864865	0.42567567567567566	0.32432432432432434	0.41216216216216217	0.4594594594594595	0.34459459459459457	0.3783783783783784	0.2905405405405405	0.6891891891891891	0.34459459459459457	0.668918918918919	0.2702702702702703	0.668918918918919	0.44594594594594594	0.6554054054054054	0.4189189189189189	0.2972972972972973	0.6554054054054054	0.42567567567567566	0.3310810810810811	0.6621621621621622	0.668918918918919	0.39864864864864863	0.49324324324324326	0.5067567567567568	0.5540540540540541	0.5202702702702703	0.6554054054054054	0.5202702702702703	0.3310810810810811	0.34459459459459457	0.42567567567567566	0.7162162162162162	0.34459459459459457	0.38513513513513514	0.40540540540540543
seq23	0.25675675675675674	0.49324324324324326	0.6756756756756757	0.6756756756756757	0.6824324324324325	0.6621621621621622	0.668918918918919	0.6148648648648649	0.3581081081081081	0.4594594594594595	0.28378378378378377	0.3716216216216216	0.43243243243243246	0.722972972972973	0.24324324324324326	0.722972972972973	0.33783783783783783	0.35135135135135137	0.22297297297297297	0.3310810810810811	0.4527027027027027	0.31756756756756754	0.0	0.41216216216216217	0.2635135135135135	0.27702702702702703	0.2905405405405405	0.4527027027027027	0.40540540540540543	0.7027027027027027	0.722972972972973	0.7162162162162162	0.27702702702702703	0.6891891891891891	0.4594594594594595	0.722972972972973	0.38513513513513514	0.42567567567567566	0.31756756756756754	0.41216216216216217	0.7297297297297297	0.6824324324324325	0.25	0.2972972972972973	0.6891891891891891	0.3581081081081081	0.5472972972972973	0.7297297297297297	0.33783783783783783	0.24324324324324326	0.41216216216216217	0.3310810810810811	0.4189189189189189	0.6959459459459459	0.6013513513513513	0.6959459459459459	0.32432432432432434	0.3108108108108108	0.4594594594594595	0.25	0.6824324324324325	0.7027027027027027	0.44594594594594594	0.28378378378378377	0.49324324324324326	0.2905405405405405	0.20270270270270271	0.36486486486486486	0.40540540540540543	0.2905405405405405	0.30405405405405406	0.27702702702702703	0.722972972972973	0.25675675675675674	0.6824324324324325	0.25675675675675674	0.6824324324324325	0.3310810810810811	0.6554054054054054	0.2905405405405405	0.14864864864864866	0.6959459459459459	0.35135135135135137	0.19594594594594594	0.6216216216216216	0.6824324324324325	0.31756756756756754	0.3918918918918919	0.3918918918918919	0.5135135135135135	0.46621621621621623	0.6554054054054054	0.42567567567567566	0.30405405405405406	0.3310810810810811	0.42567567567567566	0.7364864864864865	0.27702702702702703	0.3783783783783784	0.2905405405405405
seq24	0.40540540540540543	0.3108108108108108	0.4594594594594595	0.47297297297297297	0.49324324324324326	0.4391891891891892	0.4527027027027027	0.40540540540540543	0.5067567567567568	0.6081081081081081	0.3918918918918919	0.25	0.23648648648648649	0.5202702702702703	0.41216216216216217	0.5202702702702703	0.32432432432432434	0.581081081081081	0.39864864864864863	0.23648648648648649	0.6013513513513513	0.4189189189189189	0.41216216216216217	0.0	0.4189189189189189	0.3581081081081081	0.4594594594594595	0.36486486486486486	0.2702702702702703	0.49324324324324326	0.5135135135135135	0.5202702702702703	0.4527027027027027	0.46621621621621623	0.6148648648648649	0.527027027027027	0.36486486486486486	0.27702702702702703	0.25675675675675674	0.2972972972972973	0.527027027027027	0.47297297297297297	0.3918918918918919	0.4527027027027027	0.4797297297297297	0.49324324324324326	0.2972972972972973	0.5202702702702703	0.30405405405405406	0.3783783783783784	0.23648648648648649	0.46621621621621623	0.18243243243243243	0.4864864864864865	0.3783783783783784	0.5067567567567568	0.4864864864864865	0.47297297297297297	0.19594594594594594	0.35135135135135137	0.47297297297297297	0.47297297297297297	0.6283783783783784	0.43243243243243246	0.2702702702702703	0.4594594594594595	0.38513513513513514	0.47297297297297297	0.28378378378378377	0.4594594594594595	0.4527027027027027	0.3918918918918919	0.5135135135135135	0.3716216216216216	0.4864864864864865	0.32432432432432434	0.4797297297297297	0.3108108108108108	0.46621621621621623	0.4527027027027027	0.41216216216216217	0.4797297297297297	0.20945945945945946	0.38513513513513514	0.42567567567567566	0.47297297297297297	0.25675675675675674	0.6283783783783784	0.5743243243243243	0.34459459459459457	0.2702702702702703	0.47297297297297297	0.24324324324324326	0.4391891891891892	0.4594594594594595	0.31756756756756754	0.5337837837837838	0.3783783783783784	0.24324324324324326	0.4527027027027027
